iter	MultiClass
0	0.9844861879
1	0.8877292023
2	0.8053655255
3	0.7349956091
4	0.6792470077
5	0.6267079852
6	0.5861811028
7	0.5496339467
8	0.5142207325
9	0.4882261349
10	0.4663779307
11	0.4447680606
12	0.4288366276
13	0.410988513
14	0.3955625899
15	0.3822311224
16	0.3688013095
17	0.3585941112
18	0.3504375497
19	0.3410094233
20	0.3394011285
21	0.3321333701
22	0.3265759805
23	0.3217742913
24	0.3179991803
25	0.3158631027
26	0.309401365
27	0.3060474648
28	0.3010547644
29	0.2973925296
30	0.2948958357
31	0.2913801332
32	0.2878260947
33	0.2856535368
34	0.2819035586
35	0.2788149057
36	0.2756025961
37	0.2734802045
38	0.271133394
39	0.2696755718
40	0.2672708637
41	0.265697385
42	0.2641615616
43	0.2618656735
44	0.2599858487
45	0.2583105186
46	0.2560288481
47	0.2542326546
48	0.2525004648
49	0.2515378137
50	0.2505499894
51	0.2495754048
52	0.2482598444
53	0.2468985808
54	0.2463533552
55	0.2454798507
56	0.2450297179
57	0.2439984392
58	0.2431563752
59	0.2423249468
60	0.2414738738
61	0.2403467649
62	0.2393479201
63	0.2388338231
64	0.237966836
65	0.2372172062
66	0.2352321821
67	0.2346593496
68	0.2341338471
69	0.2331535941
70	0.2315063115
71	0.2307224351
72	0.2301715484
73	0.2292952009
74	0.2287337033
75	0.2285638869
76	0.2279775141
77	0.2276764553
78	0.2272822567
79	0.2268226874
80	0.2261140848
81	0.2249217483
82	0.2243081124
83	0.2233721974
84	0.222860946
85	0.2225862343
86	0.2221231026
87	0.2214914442
88	0.2210138959
89	0.2206763431
90	0.2205520333
91	0.2201633205
92	0.219660891
93	0.2191462551
94	0.2186084464
95	0.2181110172
96	0.2178763213
97	0.2172539626
98	0.2171166062
99	0.2168397413
