iter	Passed	Remaining
0	158	158145
1	160	80210
2	162	54008
3	164	40881
4	165	33024
5	167	27753
6	169	23997
7	170	21141
8	171	18926
9	173	17146
10	174	15689
11	175	14468
12	177	13440
13	178	12556
14	179	11760
15	180	11092
16	181	10503
17	182	9978
18	184	9510
19	185	9087
20	186	8703
21	188	8364
22	189	8056
23	191	7776
24	192	7513
25	194	7269
26	195	7039
27	196	6827
28	197	6627
29	199	6444
30	200	6270
31	201	6107
32	203	5957
33	204	5812
34	205	5675
35	207	5545
36	208	5422
37	209	5308
38	210	5197
39	212	5092
40	213	4993
41	214	4896
42	215	4804
43	217	4717
44	218	4638
45	219	4560
46	221	4484
47	222	4411
48	223	4340
49	224	4273
50	226	4208
51	227	4147
52	228	4086
53	229	4029
54	231	3973
55	232	3918
56	233	3869
57	235	3819
58	236	3771
59	237	3723
60	238	3677
61	240	3633
62	241	3590
63	242	3548
64	243	3508
65	245	3469
66	246	3432
67	247	3394
68	248	3359
69	250	3324
70	251	3290
71	252	3257
72	254	3227
73	255	3197
74	256	3168
75	258	3140
76	259	3112
77	260	3084
78	262	3056
79	263	3030
80	264	3003
81	266	2979
82	267	2955
83	268	2931
84	270	2909
85	271	2887
86	273	2865
87	274	2844
88	275	2823
89	277	2804
90	278	2784
91	280	2765
92	281	2745
93	283	2727
94	284	2709
95	285	2691
96	287	2673
97	288	2656
98	290	2640
99	291	2625
100	293	2609
101	294	2592
102	295	2576
103	297	2561
104	298	2546
105	299	2530
106	301	2514
107	302	2499
108	304	2485
109	305	2469
110	306	2454
111	307	2440
112	309	2426
113	310	2414
114	311	2400
115	313	2385
116	314	2372
117	315	2359
118	317	2347
119	318	2335
120	319	2322
121	320	2309
122	322	2297
123	323	2286
124	325	2275
125	326	2264
126	327	2253
127	328	2240
128	330	2230
129	331	2219
130	332	2207
131	334	2196
132	335	2185
133	336	2176
134	337	2165
135	339	2155
136	340	2145
137	341	2135
138	343	2127
139	344	2118
140	346	2109
